dateTime,open,low,high,close
06.05.2009,1.3308,1.3244,1.3371,1.331
07.05.2009,1.3311,1.325,1.3466,1.3387
08.05.2009,1.3387,1.334,1.3628,1.3623
11.05.2009,1.3652,1.3556,1.3665,1.3575
12.05.2009,1.3575,1.3562,1.3704,1.3643
13.05.2009,1.3644,1.3564,1.3719,1.3589
14.05.2009,1.3588,1.3524,1.3662,1.3633
15.05.2009,1.3633,1.346,1.3647,1.3487
18.05.2009,1.3482,1.3422,1.3561,1.3553
19.05.2009,1.3554,1.3529,1.3665,1.3626
20.05.2009,1.3626,1.3582,1.3827,1.3763
21.05.2009,1.3763,1.3727,1.3921,1.3902
22.05.2009,1.3903,1.3896,1.4048,1.3999
25.05.2009,1.4028,1.3957,1.4034,1.4012
26.05.2009,1.4012,1.3858,1.402,1.3987
27.05.2009,1.3987,1.3822,1.3998,1.3834
28.05.2009,1.3833,1.3792,1.398,1.3931
29.05.2009,1.393,1.3923,1.4165,1.4135
01.06.2009,1.4132,1.4098,1.4243,1.4149
02.06.2009,1.4149,1.41,1.4329,1.4305
03.06.2009,1.4305,1.4107,1.4335,1.4141
04.06.2009,1.4142,1.4069,1.4238,1.4175
05.06.2009,1.4174,1.3931,1.4265,1.3962
08.06.2009,1.3941,1.3803,1.4,1.3896
09.06.2009,1.3897,1.385,1.4098,1.4073
10.06.2009,1.4073,1.3914,1.4141,1.3964
11.06.2009,1.3965,1.3942,1.4175,1.4095
12.06.2009,1.4095,1.3935,1.4126,1.3997
15.06.2009,1.3986,1.3754,1.4,1.3782
16.06.2009,1.3783,1.3747,1.3929,1.3833
17.06.2009,1.3833,1.3805,1.3982,1.3942
18.06.2009,1.3941,1.387,1.3999,1.3903
19.06.2009,1.3904,1.3881,1.4009,1.3942
22.06.2009,1.3948,1.3825,1.3948,1.3855
23.06.2009,1.3855,1.3827,1.4105,1.4073
24.06.2009,1.4073,1.3887,1.4135,1.3929
25.06.2009,1.3928,1.3888,1.4011,1.3994
26.06.2009,1.3993,1.3981,1.4115,1.4068
29.06.2009,1.4059,1.3981,1.4101,1.407
30.06.2009,1.4071,1.4,1.4149,1.4034
01.07.2009,1.4033,1.3999,1.4198,1.415
02.07.2009,1.415,1.3927,1.4151,1.3943
03.07.2009,1.3944,1.3942,1.4025,1.3975
06.07.2009,1.3955,1.3876,1.3996,1.3971
07.07.2009,1.3971,1.3902,1.4048,1.3915
08.07.2009,1.3916,1.383,1.3936,1.3872
09.07.2009,1.3872,1.3857,1.4069,1.4021
10.07.2009,1.4021,1.3877,1.4028,1.3946
13.07.2009,1.3945,1.3895,1.3999,1.3985
14.07.2009,1.3986,1.391,1.4012,1.3969
15.07.2009,1.397,1.3961,1.4132,1.4101
16.07.2009,1.41,1.4054,1.4162,1.4139
17.07.2009,1.4139,1.4061,1.4145,1.4098
20.07.2009,1.4117,1.4108,1.4246,1.4225
21.07.2009,1.4225,1.4162,1.4274,1.4211
22.07.2009,1.4211,1.4155,1.4254,1.4205
23.07.2009,1.4205,1.4118,1.4288,1.4149
24.07.2009,1.415,1.4134,1.4251,1.4213
27.07.2009,1.4228,1.417,1.4295,1.4241
28.07.2009,1.4241,1.4129,1.43,1.4171
29.07.2009,1.417,1.4006,1.4192,1.4032
30.07.2009,1.4033,1.4007,1.4092,1.4065
31.07.2009,1.4064,1.4062,1.4276,1.425
03.08.2009,1.4271,1.4205,1.4441,1.4416
04.08.2009,1.4416,1.4365,1.4429,1.4396
05.08.2009,1.4396,1.4354,1.4444,1.4412
06.08.2009,1.4411,1.4327,1.4428,1.4352
07.08.2009,1.4351,1.4153,1.4411,1.4169
10.08.2009,1.4174,1.4102,1.4216,1.4143
11.08.2009,1.4144,1.4108,1.4183,1.4146
12.08.2009,1.4146,1.4085,1.4245,1.42
13.08.2009,1.42,1.4199,1.4324,1.4277
14.08.2009,1.4276,1.4158,1.4304,1.4187
17.08.2009,1.4187,1.4044,1.4192,1.4073
18.08.2009,1.4074,1.4066,1.4149,1.4129
19.08.2009,1.4129,1.4082,1.4264,1.4232
20.08.2009,1.4233,1.4198,1.4272,1.4244
21.08.2009,1.4244,1.4207,1.4373,1.4333
24.08.2009,1.4343,1.4279,1.4357,1.4295
25.08.2009,1.4295,1.4251,1.4358,1.4298
26.08.2009,1.4298,1.4205,1.4347,1.424
27.08.2009,1.424,1.4217,1.4404,1.4348
28.08.2009,1.4349,1.4279,1.4385,1.4298
31.08.2009,1.4305,1.4254,1.4365,1.4329
01.09.2009,1.4329,1.4176,1.4375,1.4215
02.09.2009,1.4215,1.4189,1.4292,1.426
03.09.2009,1.426,1.4234,1.4345,1.4255
04.09.2009,1.4256,1.419,1.4324,1.4301
07.09.2009,1.4307,1.43,1.4358,1.4335
08.09.2009,1.4336,1.4326,1.4532,1.4492
09.09.2009,1.4492,1.4465,1.4598,1.4565
10.09.2009,1.4564,1.4501,1.461,1.4577
11.09.2009,1.4577,1.4553,1.4631,1.4579
14.09.2009,1.4596,1.4514,1.4649,1.4625
15.09.2009,1.4625,1.456,1.4683,1.4661
16.09.2009,1.4661,1.4642,1.4734,1.4706
17.09.2009,1.4707,1.4686,1.4763,1.474
18.09.2009,1.474,1.4646,1.4742,1.47
21.09.2009,1.4688,1.4609,1.471,1.4674
22.09.2009,1.4674,1.4673,1.4818,1.4787
23.09.2009,1.4787,1.4692,1.4841,1.4693
24.09.2009,1.4692,1.4626,1.4799,1.4659
25.09.2009,1.4659,1.4613,1.4721,1.4667
28.09.2009,1.4702,1.4562,1.4718,1.4613
29.09.2009,1.4614,1.4525,1.4643,1.4582
